p1,p2,probability,stk on start,stk on destination,prj on start,prj on destination,risk on start,risk on destination
"MN, PB, ON",CU,0.8321917808219178,3,1,0,0,0,0
"MN, ON",CU,0.63,2,1,0,0,0,0
MN,PB,0.6125592417061612,1,1,0,0,0,0
MN,"PB, CU",0.518957345971564,1,2,0,0,0,0
"MN, CU",PB,0.7992700729927007,2,1,0,0,0,0
"MN, PB",CU,0.8471953578336557,2,1,0,0,0,0
MN,CU,0.6492890995260664,1,1,0,0,0,0
"the Construction Industry, Management, ON",Research,0.5355805243445693,3,1,0,0,0,0
"TRACE, PB",CU,0.7702127659574468,2,1,0,0,0,0
"TRACE, CU",PB,0.7702127659574468,2,1,0,0,0,0
"Ecological risk, PB, ON",CU,0.8131868131868132,2,1,0,0,1,0
"Ecological risk, CU, ON",PB,0.8457142857142858,2,1,0,0,1,0
"Ecological risk, PB",CU,0.8323699421965318,1,1,0,0,1,0
"Ecological risk, CU",PB,0.8834355828220859,1,1,0,0,1,0
"AL, PB",CU,0.8109452736318408,2,1,0,0,0,0
"AL, CU",PB,0.7652582159624414,2,1,0,0,0,0
"Century, IMPACTS",Climate,0.7562189054726368,2,1,0,0,0,0
"Century, IMPACTS","Climate, ON",0.6268656716417911,2,2,0,0,0,0
"Century, IMPACTS, ON",Climate,0.7411764705882353,3,1,0,0,0,0
"Originality, FOCUS",PURPOSE,0.968503937007874,2,1,0,0,0,0
"COST, Originality",PURPOSE,0.9428571428571428,2,1,0,0,0,0
"Originality, Planning",PURPOSE,0.9662162162162162,2,1,0,0,0,0
"Originality, MAIN","PURPOSE, ON",0.754601226993865,2,2,0,0,0,0
"Originality, MAIN, ON",PURPOSE,0.8785714285714286,3,1,0,0,0,0
"Originality, MAIN",PURPOSE,0.8773006134969326,2,1,0,0,0,0
"Originality, Communities","PURPOSE, ON",0.7607361963190185,2,2,0,0,0,0
"PURPOSE, Communities, ON",Originality,0.543859649122807,3,1,0,0,0,0
"Originality, Communities, ON",PURPOSE,0.9612403100775194,3,1,0,0,0,0
"PURPOSE, Communities",Originality,0.5358361774744027,2,1,0,0,0,0
"Originality, Communities",PURPOSE,0.9631901840490796,2,1,0,0,0,0
"Originality, HELP","PURPOSE, ON",0.7878787878787878,2,2,0,0,0,0
"HELP, Originality, ON",PURPOSE,0.9558823529411764,3,1,0,0,0,0
"Originality, HELP",PURPOSE,0.9393939393939394,2,1,0,0,0,0
"Originality, The risk","PURPOSE, ON",0.7674418604651163,1,2,0,0,1,0
"Originality, The risk, ON",PURPOSE,0.9230769230769232,2,1,0,0,1,0
"Originality, The risk",PURPOSE,0.9127906976744186,1,1,0,0,1,0
"Originality, Economic","PURPOSE, ON",0.7942857142857143,2,2,0,0,0,0
"Originality, Economic, ON",PURPOSE,0.9328859060402684,3,1,0,0,0,0
"Originality, Economic",PURPOSE,0.9257142857142856,2,1,0,0,0,0
"Originality, IMPACTS","PURPOSE, ON",0.8983050847457628,2,2,0,0,0,0
"Originality, IMPACTS, ON",PURPOSE,0.9814814814814816,3,1,0,0,0,0
"Originality, IMPACTS",PURPOSE,0.9830508474576272,2,1,0,0,0,0
"Social, Originality","PURPOSE, ON",0.770949720670391,2,2,0,0,0,0
"Social, Originality, ON",PURPOSE,0.9324324324324323,3,1,0,0,0,0
"Social, Originality",PURPOSE,0.9385474860335196,2,1,0,0,0,0
"PURPOSE, Disaster risk","Originality, ON",0.5975609756097561,1,2,0,0,1,0
"Originality, Disaster risk","PURPOSE, ON",0.8032786885245902,1,2,0,0,1,0
"PURPOSE, Disaster risk, ON",Originality,0.75,2,1,0,0,1,0
"Originality, Disaster risk, ON",PURPOSE,0.9932432432432432,2,1,0,0,1,0
"PURPOSE, Disaster risk",Originality,0.7357723577235772,1,1,0,0,1,0
"Originality, Disaster risk",PURPOSE,0.989071038251366,1,1,0,0,1,0
"Originality, Community",Research,0.654054054054054,2,1,0,0,0,0
"Originality, Community","PURPOSE, ON",0.7783783783783784,2,2,0,0,0,0
"Originality, Community, ON",PURPOSE,0.972972972972973,3,1,0,0,0,0
"Originality, Community",PURPOSE,0.972972972972973,2,1,0,0,0,0
"TIME, Originality",Research,0.5801886792452831,2,1,0,0,0,0
"TIME, Originality","PURPOSE, ON",0.7216981132075472,2,2,0,0,0,0
"TIME, Originality, ON",PURPOSE,0.9161676646706588,3,1,0,0,0,0
"TIME, Originality",PURPOSE,0.9056603773584906,2,1,0,0,0,0
"Climate, Originality","PURPOSE, ON",0.8037383177570093,2,2,0,0,0,0
"Climate, Originality, ON",PURPOSE,0.9772727272727272,3,1,0,0,0,0
"Climate, Originality",PURPOSE,0.97196261682243,2,1,0,0,0,0
"Understanding, Originality",Research,0.7276595744680852,2,1,0,0,0,0
"Understanding, Originality","ON, Research",0.6212765957446809,2,2,0,0,0,0
"Understanding, Originality, ON",Research,0.7336683417085427,3,1,0,0,0,0
"Understanding, Originality","ON, PURPOSE, Research",0.6,2,3,0,0,0,0
"Understanding, Originality, Research","PURPOSE, ON",0.8245614035087719,3,2,0,0,0,0
"Understanding, Originality, PURPOSE","ON, Research",0.6238938053097345,3,2,0,0,0,0
"Understanding, Originality, ON","PURPOSE, Research",0.7085427135678392,3,2,0,0,0,0
"Understanding, ON, Originality, Research",PURPOSE,0.9657534246575342,4,1,0,0,0,0
"Understanding, ON, Originality, PURPOSE",Research,0.7421052631578947,4,1,0,0,0,0
"Understanding, ON, PURPOSE, Research",Originality,0.6077586206896551,4,1,0,0,0,0
"Understanding, Originality","PURPOSE, Research",0.7063829787234043,2,2,0,0,0,0
"Understanding, PURPOSE, Originality",Research,0.7345132743362832,3,1,0,0,0,0
"Understanding, PURPOSE, Research",Originality,0.5804195804195804,3,1,0,0,0,0
"Understanding, Originality, Research",PURPOSE,0.9707602339181286,3,1,0,0,0,0
"Understanding, Originality","PURPOSE, ON",0.8085106382978723,2,2,0,0,0,0
"Understanding, Originality, ON",PURPOSE,0.9547738693467336,3,1,0,0,0,0
"Understanding, Originality",PURPOSE,0.9617021276595744,2,1,0,0,0,0
"Method, Originality",Research,0.5546875,2,1,0,0,0,0
"Method, Originality","PURPOSE, Research",0.51953125,2,2,0,0,0,0
"Method, PURPOSE, Originality",Research,0.5659574468085107,3,1,0,0,0,0
"Method, Originality, Research",PURPOSE,0.9366197183098592,3,1,0,0,0,0
"Method, Originality","PURPOSE, ON",0.78515625,2,2,0,0,0,0
"Method, Originality, ON",PURPOSE,0.9220183486238532,3,1,0,0,0,0
"Method, Originality",PURPOSE,0.91796875,2,1,0,0,0,0
"Originality, Management",Research,0.6724511930585684,2,1,0,0,0,0
"Originality, Management","ON, Research",0.561822125813449,2,2,0,0,0,0
"Originality, Management, ON",Research,0.6692506459948321,3,1,0,0,0,0
"Originality, Management","ON, PURPOSE, Research",0.5466377440347071,2,3,0,0,0,0
"Originality, Management, Research","PURPOSE, ON",0.8129032258064516,3,2,0,0,0,0
"PURPOSE, Originality, Management","ON, Research",0.5740318906605922,3,2,0,0,0,0
"Originality, Management, ON","PURPOSE, Research",0.6511627906976745,3,2,0,0,0,0
"ON, Originality, Management, Research",PURPOSE,0.972972972972973,4,1,0,0,0,0
"PURPOSE, Originality, Management, ON",Research,0.6810810810810811,4,1,0,0,0,0
"ON, PURPOSE, Management, Research",Originality,0.5070422535211268,4,1,0,0,0,0
"Originality, Management","PURPOSE, Research",0.6507592190889371,2,2,0,0,0,0
"PURPOSE, Originality, Management",Research,0.683371298405467,3,1,0,0,0,0
"PURPOSE, Management, Research",Originality,0.5042016806722689,3,1,0,0,0,0
"Originality, Management, Research",PURPOSE,0.967741935483871,3,1,0,0,0,0
"Originality, Management","PURPOSE, ON",0.8026030368763557,2,2,0,0,0,0
"Originality, Management, ON",PURPOSE,0.9560723514211886,3,1,0,0,0,0
"Originality, Management",PURPOSE,0.9522776572668112,2,1,0,0,0,0
Originality,Research,0.5947030497592295,1,1,0,0,0,0
"Originality, ON",Research,0.6083984375,2,1,0,0,0,0
"PURPOSE, Originality","ON, Research",0.5128205128205128,2,2,0,0,0,0
"Originality, ON","PURPOSE, Research",0.5859375,2,2,0,0,0,0
"Originality, Research","PURPOSE, ON",0.8097165991902834,2,2,0,0,0,0
"PURPOSE, Originality, ON",Research,0.6204756980351603,3,1,0,0,0,0
"Originality, Research, ON",PURPOSE,0.9630818619582664,3,1,0,0,0,0
Originality,"PURPOSE, Research",0.5706260032102729,1,2,0,0,0,0
"PURPOSE, Originality",Research,0.6076923076923076,2,1,0,0,0,0
"Originality, Research",PURPOSE,0.9595141700404858,2,1,0,0,0,0
Originality,"PURPOSE, ON",0.776083467094703,1,2,0,0,0,0
"Originality, ON",PURPOSE,0.9443359375,2,1,0,0,0,0
Originality,PURPOSE,0.9390048154093098,1,1,0,0,0,0
"Crash risk, Types",Safety,0.6492890995260664,1,1,0,0,1,0
"Crash risk, Method",Safety,0.6681034482758621,1,1,0,0,1,0
"Crash risk, Characteristics",Safety,0.5887096774193549,1,1,0,0,1,0
"Crash risk, Characteristics","Safety, ON",0.5080645161290323,1,2,0,0,1,0
"Crash risk, Characteristics, ON",Safety,0.5943396226415094,2,1,0,0,1,0
